-nan -nan
1.08848e+11 2.0909e+06
2.71451e+10 2.11187e+06
1.20153e+10 2.10774e+06
6.72028e+09 2.07871e+06
4.26983e+09 2.1041e+06
2.93915e+09 2.11152e+06
2.13722e+09 2.11532e+06
1.61716e+09 2.12105e+06
1.26103e+09 2.07397e+06
1.00671e+09 2.09287e+06
8.18942e+08 2.08673e+06
6.76517e+08 2.06732e+06
5.6605e+08 2.0909e+06
4.78753e+08 2.07118e+06
4.08665e+08 2.10143e+06
3.51624e+08 2.11644e+06
3.04652e+08 2.08586e+06
2.65573e+08 2.07635e+06
2.32768e+08 2.09801e+06
2.05009e+08 2.07893e+06
1.81354e+08 2.08228e+06
1.61067e+08 2.11632e+06
1.43569e+08 2.07332e+06
1.284e+08 2.08881e+06
1.15187e+08 2.09627e+06
1.03629e+08 2.11466e+06
9.34789e+07 2.11722e+06
8.45329e+07 2.09625e+06
7.66219e+07 2.11971e+06
6.96043e+07 2.10519e+06
6.33612e+07 2.09944e+06
5.7792e+07 2.10907e+06
5.28113e+07 2.11299e+06
4.83463e+07 2.08641e+06
4.43345e+07 2.08556e+06
4.07221e+07 2.07194e+06
3.74628e+07 2.10465e+06
3.45163e+07 2.10585e+06
3.18477e+07 2.07817e+06
2.94264e+07 2.07377e+06
2.72259e+07 2.11601e+06
2.52227e+07 2.0716e+06
2.33963e+07 2.08445e+06
2.17285e+07 2.06743e+06
2.02034e+07 2.09658e+06
1.88068e+07 2.10685e+06
1.75261e+07 2.11914e+06
1.63502e+07 2.10696e+06
1.52691e+07 2.11096e+06
1.4274e+07 2.09363e+06
1.33568e+07 2.07871e+06
1.25106e+07 2.07711e+06
1.1729e+07 2.07817e+06
1.10061e+07 2.08946e+06
1.0337e+07 2.09627e+06
9.7169e+06 2.11576e+06
9.14168e+06 2.07397e+06
8.60757e+06 2.09493e+06
8.11114e+06 2.07343e+06
7.6493e+06 2.07354e+06
7.21925e+06 2.11487e+06
6.81844e+06 2.09625e+06
6.44455e+06 2.08282e+06
6.09549e+06 2.09594e+06
5.76932e+06 2.0685e+06
5.4643e+06 2.10853e+06
5.17883e+06 2.11756e+06
4.91145e+06 2.11286e+06
4.66082e+06 2.07066e+06
4.42571e+06 2.06722e+06
4.20501e+06 2.07678e+06
3.99768e+06 2.08739e+06
3.80277e+06 2.081e+06
3.61942e+06 2.10209e+06
3.44682e+06 2.10277e+06
3.28424e+06 2.07237e+06
3.13099e+06 2.07495e+06
2.98646e+06 2.07916e+06
2.85005e+06 2.102e+06
2.72124e+06 2.11353e+06
2.59952e+06 2.07786e+06
2.48444e+06 2.12016e+06
2.37558e+06 2.10874e+06
2.27254e+06 2.07882e+06
2.17496e+06 2.10831e+06
2.0825e+06 2.11174e+06
1.99483e+06 2.1062e+06
1.91168e+06 2.07377e+06
1.83277e+06 2.10707e+06
1.75783e+06 2.10012e+06
1.68665e+06 2.08262e+06
1.61899e+06 2.10818e+06
1.55466e+06 2.10907e+06
1.49345e+06 2.11644e+06
1.43519e+06 2.08371e+06
1.37972e+06 2.07884e+06
1.32688e+06 2.06657e+06
1.27651e+06 2.0825e+06
1.22849e+06 2.11366e+06
1.18269e+06 2.08035e+06
1.13897e+06 2.11802e+06
1.09724e+06 2.0944e+06
1.05739e+06 2.06508e+06
1.01931e+06 2.07752e+06
982920 2.07741e+06
948121 2.09889e+06
914835 2.11007e+06
882985 2.07012e+06
852497 2.06959e+06
823303 2.0957e+06
795338 2.08793e+06
768540 2.07268e+06
742852 2.07655e+06
718221 2.09625e+06
694593 2.08554e+06
671923 2.09757e+06
650162 2.10122e+06
629269 2.08358e+06
609202 2.08979e+06
589923 2.1022e+06
571396 2.10111e+06
553585 2.10829e+06
536457 2.10264e+06
519983 2.08282e+06
504131 2.10585e+06
488876 2.1074e+06
474189 2.1053e+06
460046 2.09144e+06
446423 2.11713e+06
433297 2.09175e+06
420648 2.09416e+06
408453 2.10931e+06
396695 2.08252e+06
385355 2.09362e+06
374414 2.11409e+06
363857 2.11913e+06
353667 2.11232e+06
343829 2.06722e+06
334329 2.08219e+06
325153 2.0685e+06
316288 2.08902e+06
307721 2.10863e+06
299441 2.1141e+06
291436 2.08588e+06
283696 2.11397e+06
276209 2.102e+06
268967 2.07119e+06
261959 2.09186e+06
255177 2.08315e+06
248612 2.10652e+06
242255 2.11163e+06
236100 2.08066e+06
230138 2.11666e+06
224362 2.09537e+06
218765 2.0946e+06
213341 2.09155e+06
208083 2.10963e+06
202986 2.1189e+06
198043 2.08013e+06
193248 2.08425e+06
188598 2.06465e+06
184086 2.12036e+06
179707 2.09035e+06
175457 2.08924e+06
171332 2.09999e+06
167327 2.09979e+06
163437 2.10541e+06
159660 2.09517e+06
155991 2.11543e+06
152426 2.10177e+06
148962 2.07828e+06
145595 2.10109e+06
142322 2.08719e+06
139141 2.07893e+06
136048 2.11197e+06
133040 2.10133e+06
130114 2.07474e+06
127268 2.11263e+06
124499 2.10496e+06
121805 2.12105e+06
119183 2.11087e+06
116631 2.08337e+06
114146 2.08423e+06
111728 2.07947e+06
109372 2.06959e+06
107079 2.07107e+06
104845 2.07193e+06
102668 2.07472e+06
100548 2.07225e+06
98481.8 2.06809e+06
96468.4 2.07741e+06
94506 2.09715e+06
92593.1 2.09715e+06
90728.2 2.11029e+06
88909.9 2.11813e+06
87136.8 2.07409e+06
85407.5 2.08046e+06
83720.8 2.09438e+06
82075.4 2.09132e+06
80470.1 2.11599e+06
78903.8 2.07644e+06
77375.2 2.1012e+06
75883.4 2.07409e+06
74427.3 2.09625e+06
73005.9 2.07098e+06
71618.1 2.0988e+06
70263.1 2.09133e+06
68939.9 2.07182e+06
67647.6 2.10851e+06
66385.3 2.1012e+06
65152.3 2.0875e+06
63947.7 2.11744e+06
62770.8 2.09781e+06
61620.7 2.07795e+06
60496.8 2.0742e+06
